Position,"Track Name",Artist,Streams,URL
54,"Purple Lamborghini (with Rick Ross)",Skrillex,463672,https://open.spotify.com/track/6JyuJFedEvPmdWQW0PkbGJ
55,Encantadora,Yandel,454709,https://open.spotify.com/track/7LABrQFfRYcZUqUwng0Heb
56,"Solo Con Verte","Banda Sinaloense MS de Sergio Lizárraga",453115,https://open.spotify.com/track/5O8KgU7bOUJAl39ncNNNn7
57,"Needed Me",Rihanna,447522,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
58,"You Don't Own Me",Grace,437819,https://open.spotify.com/track/6KI1ZpZWYAJLvmVhCJz65G
59,"In the Name of Love","Martin Garrix",433520,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
60,"Shaky Shaky","Daddy Yankee",428416,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
61,"Me, Myself & I",G-Eazy,420115,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
62,"Don't Mind","Kent Jones",389644,https://open.spotify.com/track/27PmvZoffODNFW2p7ehZTQ
63,Close,"Nick Jonas",387807,https://open.spotify.com/track/3lSDIJ2abCrOdDJ6pshUap
64,Controlla,Drake,387170,https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG
65,"Tengo Que Colgar","Banda Sinaloense MS de Sergio Lizárraga",386390,https://open.spotify.com/track/7wIQuubY137iT5dC8HxNcQ
66,"Love Yourself","Justin Bieber",384525,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
67,"Lush Life","Zara Larsson",368829,https://open.spotify.com/track/0r4SsYcwvd8URat6AS2m6f
68,Sorry,"Justin Bieber",366981,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
69,"Gyal You A Party Animal","Charly Black",366417,https://open.spotify.com/track/1mSzZKMIPZIkn3jFV7v62b
70,"Lean On (feat. MØ & DJ Snake)","Major Lazer",365386,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
71,Photograph,"Ed Sheeran",358004,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
72,"No soy una de esas - feat. Alejandro Sanz","Jesse & Joy",354870,https://open.spotify.com/track/3QjkcFDVHOB4Z43esP5A8N
73,"Andas En Mi Cabeza","Chino & Nacho",352000,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
74,Brillas,"León Larregui",349536,https://open.spotify.com/track/6VuUMo1TusnqBxLTnr3hOI
75,"El Perdón","Nicky Jam",344013,https://open.spotify.com/track/4Ld3RS6KBXGsvtfmnjxlVl
76,"Thinking Out Loud","Ed Sheeran",342066,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f
77,"7 Years","Lukas Graham",341605,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
78,"Ya Me Enteré (feat. Nicky Jam) - Urban Version",Reik,341326,https://open.spotify.com/track/2SSYqDX8KTgy01NlqtUo0F
79,"La Ocasion (feat. Arcangel, Ozuna & Anuel Aa)","De La Ghetto",339549,https://open.spotify.com/track/498YWgZPJWIA4lphXtCNma
80,"Adventure Of A Lifetime",Coldplay,339093,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
81,"Te Metiste","Ariel Camacho y Los Plebes Del Rancho",337763,https://open.spotify.com/track/0nNTCEOzFlBTlDCx5IfLWP
82,Ginza,"J Balvin",331897,https://open.spotify.com/track/2C2TGgFzrTRIOdQS1vUN5h
